
Full Name,Synonyms,Marker Gene Evidence,Organisms,Tissues
neuron,Unknown,Unknown,"Mus musculus, Homo sapiens, Macaca mulatta",Spinal cord
CL:4030027,"GABAergic, amacrine cell, GABAergic","AL033504.1, VIPR2, FRMPD4, ERVMER61-1, WIPF3, NFIA-AS2, HTR4, SLC4A4, AC127526.2, NDST4, CHEK1, NDST3, LINC00535, PTGDS, EYS, CCBE1, AC018742.1, AC019068.1, ACTN2, AC073365.1, AC017050.1, RBMS3-AS3, AL355612.1, AC096570.1, FNDC1, NR2F2-AS1, KCNQ5, AC008571.2, CYP2E1, CFAP61, NECAB2, SLC22A3, LINC01099, TSHZ3, PCDH10, PDE1A, TSHZ2, LINC01090, SAMSN1, LYPD6, PCDH17, CRHR2, ADAMTS16, NKAIN2, TRPM1, NKAIN3, AC099792.1, PDGFD, AL138720.1, ST8SIA4, STXBP6, AC115622.1, BARD1, NTNG1, LINC02055, GDNF-AS1, COL24A1, STAC, ABCA4, KLF3-AS1, HDAC2-AS2, NMBR, PEX5L, FAM135B, LYPD6B, ID4, AC007614.1, LINC01630, MRAP2, C12orf75, RNF220, LINC02842, SLC44A5, MYOM1, GRIK3, SLC6A1, PCSK5, ADAMTSL1, AC060765.1, AC060765.2, KCNT2, CHL1, AC091938.1, LINC01821, LINC02232, CHST9, AC093765.3, AC093765.2, IL15, LINC02351, NR2F1-AS1, PTH2R, LINC00290, SORCS3, ANO2, AL109930.1, ANKFN1, TOX2, MDFIC, AL356737.2, LINC00842, COL21A1, RARB, LINC01933, RAPGEF5, PDZRN4, AC044810.2, SAMD5, HDC, PTGER3, LINC01170, C5orf64, EGFR, SLC7A2, GLRA1, FGD5, GLRA3, GPC5-AS2, NPY, ABI3BP, GPC5, LINC00871, DISC1, AC091576.1, LINC00511, AC092422.1, GABRA5, TPK1, GAD1, P2RY14, AC068931.1, GAD2, MPP6, PLXDC1, SMOC2, RIT2, NFIA, DLC1, SMOC1, AC100849.1, LGR5, ADGRL2, AL139383.1, TJP2, SEMA5B, GALNT14, CLSTN2, DGKB, AC079148.3, ADAMTS9-AS1, ADAMTS9-AS2, IL1RAP, CDH9, CDH6, SCGN, LCNL1, DEPTOR, BMPER, GRB14, SCN9A, TNR, ENPP1, STK32B, RGS6, CSGALNACT1, EOMES, PDGFRA, TENM3-AS1, CADPS2, LHCGR, IGFBP3, AP001825.1, CARTPT, SCN1A-AS1, FRMD4B, SHISA9, PRLR, MOB3B, FOXP2, PDIA5, POU3F3, XACT, MAF, RAB31, COL4A2, ADAM12, AC105411.1, ROR2, CHODL, FBN2, IQCA1, LINC01374, LINC01013, ARHGEF26, CHRNA7, NPR3, PLD5, GLIS3, AC009041.2, ITPR2, BHLHE22, LTBP1, MCHR2, IGSF21, ARHGAP20, CDH20, CNTNAP3B, CPAMD8, CDH22, OTX2, TAC3, NXPH1, TAC1, PLXNA4, LINC00159, ANKRD29, ATP8B4, AC073114.1, AC090138.1, GULP1, AQP4-AS1, TDRD15, SDK2, FGFR1, ALK, EDA, MCTP1, ONECUT2, CRYBG3, MEGF11, AC093817.2, HTR2C, AC009411.2, INSYN2B, NRGN, IQCJ-SCHIP1, GHR, PKN2-AS1, FAM178B, ADAMTS3, NETO1, MYO18B, PHACTR2, NOS1, BX284613.2, ADAMTS6, TRPC7, DSP, ZNF385D-AS2, TRPC4, LINC02197, AL136456.1, AF279873.3, OPRM1, DCN, ADAMTS20, IL1RAPL2, AC007368.1, SAG, CDH13, DOCK2, LINC00200, AL589740.1, PAPPA2, VSTM2B, AL589693.1, SLC24A4, AL591043.2, HPGD, DAPL1, SEMA3D, LAMA3, LRP2, ASB18, NTN1, LMF1, PDE11A, SV2C, AC117461.1, SLITRK6, CHSY3, LRIG3, PDE6A, BEND7, PDLIM5, LINC02653, CCDC178, SMIM36, LINC01320, MYO10, EYA4, ZNF804B, PANTR1, HS3ST4, SGCZ, MYO16, SYT17, TBX2, PTCHD1-AS, NELL1, TAFA4, FRAS1, TAFA2, SYT10, TSPAN18, TAFA1, AC060834.2, CLNK, TLL1, PMFBP1, AC008591.1, CBLN2, AC013287.1",Homo sapiens,"cranial nerve II, fovea centralis, macula lutea, retinal neural layer, chorioretinal region, macula lutea proper, peripheral region of retina, optic disc"
CL:0000057,"lamina cribrosa fibroblast cell, Fibrolast x cell, perivascular fibroblast cell, sclera fibroblast cell, pia fibroblast cell, liver fibroblasts, unknown, fibrolast x cell, dura fibroblast cell, hepatic fibroblasts, RPE choroid fibroblast cell, stromal cells, arachnoid fibroblast cell, mesenchymal cells","ADAMDEC1, HHIP, FGF7, MT2A, DACH1, LGALS1, BASP1, LEPR, PIEZO2, CCN2, SOX6, STK32A, IER3, PDGFRB, PDGFRA, CCBE1, IGFBP5, EBF2, SFRP1, PKP2, NBL1, FTL, MEG3, CFD, SLC22A3, PMEL, CEMIP, CFH, ABCB5, LPL, FBLN1, AEBP1, PLA2G5, NID1, FBLN5, unknown, C3, TRPM1, CNN1, SOCS3, C7, AL445250, ZMAT4, APOD, GGT5, HAND2-AS1, ABCA6, ABCA9, NR2F1, INHBA, ARHGAP26, TYR, BMP5, COL1A1, PTPRD, IL6, COL1A2, CXCL12, BCL2, PDE3A, NOX4, ID3, BMPR1B, TOP2A, CXCL8, HILPDA, LAMC1, AFF3, RERG, MEDAG, PTPRG, AKAP12, SGCD, KCNT2, CTSL, RSPO3, TIMP3, CARMN, TIMP1, EDN3, COL25A1, MIR205HG, MMP2, ANXA5, MMP3, PAX3, IL16, DCN, TRDN, ACTA2, TMEFF2, ANGPTL7, NAV3, CDH11, CHI3L1, COL6A3, RARB, RBMS3, COLEC10, SLC47A1, LAMA2, C1S, WDR45B, PDGRA, PRELP, PTGS2, THBS1, THSD4, GMDS, SHOX, CCL2, CASC15, NEGR1, LUM, MIR99AHG, SOD2, SULF1, GRHL2, BICC1, MFAP5, MFAP4, SMOC2, COL3A1, FABP4, TAFA2, DLC1, MGP, PI16, VIM",Homo sapiens,"substantia propria of cornea, ileum, cornea, chorioretinal region, ocular surface region, uvea, cranial nerve II, kidney, lung parenchyma, optic choroid, tunica fibrosa of eyeball, cortex of kidney, renal medulla, corneal endothelium, sclera, nose, pigmented layer of retina, liver, optic disc, ciliary body, corneal epithelium, corneo-scleral junction, eyeball of camera-type eye, respiratory airway, renal papilla, eye trabecular meshwork, gastrocnemius"
CL:0000115,"blood vascular endothelial cell, endothelial cell of blood vessel, endotheliocyte, unknown, vascular endothelial cell","DOCK4, PLVAP, FLT1, MCTP1, STEAP4, PLAT, SLC2A3, LDB2, AQP1, AKAP12, CDH5, LRMDA, MECOM, HEY1, GJA5, CA4, KDR, ZNF385D, TIMP1, CD34, B2M, NCKAP5, PDGFRB, MEF2C, VWF, ARL15, IGFBP3, RALGAPA2, PROX1, TGFBR2, ACTA2, CLDN5, EMCN, TYROBP, IFI27, MMP16, ADGRF5, PECAM1, ELMO1, SPARCL1, CD48, SHANK3, LINC02147, ENPEP, COL15A1, CALCRL, PCDH10, TSHZ2, SEMA3G, KALRN, unknown, NKAIN2, EFNB2, STOX2, TPO, SPP1, APOD, MYH11, A2M, LDLR, JAM2, CD74, VCAM1, CADM2, NEBL, FN1, ARHGAP26, LYVE1, MEIS2, SELE, Ly6c1, PTPRB, CXCL12, FABP4, ESAM, TCF4, TLL1, ACKR1, ADGRL4, FGF13","Mus musculus, Homo sapiens","substantia propria of cornea, hippocampal formation, transverse colon, cornea, prostate gland, corpus, ocular surface region, pallidum, stomach, hindbrain, dorsal plus ventral thalamus, kidney, bronchus, gastrointestinal system mesentery, striatum, pancreas, tunica fibrosa of eyeball, corneal endothelium, subcutaneous abdominal adipose tissue, midbrain tegmentum, midbrain, olfactory cortex, ventral part of telencephalon, liver, vastus lateralis, adipose tissue, neocortex, descending colon, corneal epithelium, arcuate nucleus of hypothalamus, corneo-scleral junction, lung, pons, jejunum, rectum, small intestine, nasopharynx, intrahepatic bile duct, ileum, intestine, gallbladder, thyroid gland, uvea, cerebellum, common bile duct, visceral abdominal adipose tissue, alveolar sac, cortex of kidney, subcutaneous adipose tissue, renal medulla, sclera, pyloric antrum, caecum, midbrain tectum, vermiform appendix, biliary system, telencephalon, brain, ciliary body, duodenum, salivary gland epithelium, choroid plexus, cystic lymph node, cerebral cortex, sigmoid colon, colon, renal papilla, eye trabecular meshwork, breast, hypothalamus, medulla oblongata"
CL:0009099,"mesenchymal stem cell of adipose tissue, fibro/adipogenic progenitor, preadipocyte","SLC22A3, TENM2, LAMA2, CACNA1C, DPP4, APOD, CD34, CD55, PDGFRB, PDGFRA, CD74, KCNIP1, LUM, IGFBP2, DCN, DHRS3, LRP1B, MFAP5, CRISPLD2, ITGA6, PPARG, PI16, CNTN4, PLIN1, EPHA3, CREB5",Homo sapiens,"visceral abdominal adipose tissue, adipose tissue, subcutaneous adipose tissue, subcutaneous abdominal adipose tissue"
CL:0000236,"B cell, B-cell, B lymphocyte, B-lymphocyte, unknown","BLK, IGHM, CXCR4, AFF3, STK4, BACH2, JCHAIN, unknown, OSBPL10, FCRLA, VPREB3, CD79B, CD79A, TCL1A, IGHG1, IGKC, CD19, GNG7, CREB3L2, CD37, IGHA1, B2M, IGHA2, RP5-887A10.1, TXNDC5, FCRL1, LYN, VAV3, CD74, FCRL2, HLA-B, LAPTM5, PAX5, AC079767.4, FCER2, BANK1, LINC00926, MZB1, HLA-DRA, MS4A1, CDK14, CD22, HLA-DRB1, RP11-693J15.5",Homo sapiens,"ileum, substantia propria of cornea, cornea, chorioretinal region, ocular surface region, uvea, cranial nerve II, kidney, lung parenchyma, visceral abdominal adipose tissue, optic choroid, tunica fibrosa of eyeball, subcutaneous adipose tissue, cortex of kidney, corneal endothelium, renal medulla, sclera, subcutaneous abdominal adipose tissue, nose, pigmented layer of retina, liver, adipose tissue, optic disc, ciliary body, intercostal muscle, blood, corneal epithelium, cystic lymph node, corneo-scleral junction, eyeball of camera-type eye, respiratory airway, renal papilla, eye trabecular meshwork, breast"
CL:0000669,"pericyte CFH+, adventitial cell, pericyte PDE7B+, adventitial reticular cell, mural cell, pericyte of Rouget, pericyte cell, unknown, ARC, cell of Rouget, Rouget cell, VSMC, vascular smooth muscle cell","CPM, STEAP4, GALNT15, CBLB, LAMC1, CCDC102B, EPS8, RGS5, ADAMTS2, C11orf96, PRKG1, RGS6, SOX5, PDGFRB, POSTN, TRPC6, COL25A1, TRPC4, GPX3, TPM2, EBF1, ABCC9, ACTA2, COL4A2, ADGRB3, COL6A1, NR2F2-AS1, ITGA8, MYL9, PTMA, CFD, NOTCH3, TAGLN, LAMA2, CFH, GIPR, ADCY3, CACNA1C, unknown, CALD1, APOD, IGFBP7, SLIT3, JAG1, RBPMS, MCAM, NTRK3, MYO1B, DLC1, RCAN2, ID4, PDE7B, CCL26, FBN1",Homo sapiens,"ileum, substantia propria of cornea, intestine, gallbladder, cornea, chorioretinal region, prostate gland, corpus, thyroid gland, ocular surface region, stomach, uvea, cranial nerve II, kidney, bronchus, common bile duct, pancreas, visceral abdominal adipose tissue, alveolar sac, optic choroid, tunica fibrosa of eyeball, subcutaneous adipose tissue, cortex of kidney, renal medulla, corneal endothelium, sclera, subcutaneous abdominal adipose tissue, pyloric antrum, pigmented layer of retina, liver, vastus lateralis, adipose tissue, biliary system, optic disc, ciliary body, intercostal muscle, duodenum, corneal epithelium, salivary gland epithelium, corneo-scleral junction, lung, eyeball of camera-type eye, colon, renal papilla, eye trabecular meshwork, gastrocnemius, nasopharynx, intrahepatic bile duct"
CL:0000097,"tissue mast cell, histaminocyte, labrocyte, tissue basophil, mucosal mast cell, mastocyte, unknown","CPA3, SRGN, CD63, TPSB2, SLC24A3, FCER1G, ANXA1, CMA1, HDC, ACSL4, SAMSN1, unknown, IL1RL1, HPGDS, KIT, TPSAB1/TPSB2, FCER1A, CTSG, TPSAB1, MS4A2, SIGLEC6, IL18R1",Homo sapiens,"ileum, substantia propria of cornea, transverse colon, cornea, chorioretinal region, ocular surface region, uvea, cranial nerve II, kidney, lung parenchyma, gastrointestinal system mesentery, visceral abdominal adipose tissue, palatine tonsil, optic choroid, tunica fibrosa of eyeball, subcutaneous adipose tissue, cortex of kidney, corneal endothelium, renal medulla, sclera, subcutaneous abdominal adipose tissue, nose, caecum, pigmented layer of retina, adipose tissue, vermiform appendix, optic disc, ciliary body, intercostal muscle, descending colon, duodenum, corneal epithelium, cystic lymph node, corneo-scleral junction, eyeball of camera-type eye, sigmoid colon, respiratory airway, colon, jejunum, rectum, small intestine, renal papilla, eye trabecular meshwork, gastrocnemius"
CL:0000451,"macrophage/dendritic cell intermediate, interdigitating cell, veiled cell, unknown, DC","Cd74, CIITA, DOCK4, CD83, FLT3, CLEC10A, CLEC9A, SLC8A1, LGALS3, ALDH2, LAMP3, MRC1, ITGAX, FCER1A, CCR7, ZNF366, CCDC50, HLA-DPA1, ANXA2, IRF4, FSCN1, IRF8, IDO2, WDFY4, IDO1, TLR2, FTL, C1QB, C1QA, ZBTB46, CD1C, CSF2RA, LILRA4, unknown, CST3, HLA-DQA1, S100A10, CD74, PPP1R14A, CCL22, CADM1, SIGLEC10, LYZ, PLXDC2, SOD2, AXL, HLA-DPB1, HLA-DRA, CCSER1, TGFBI, HLA-DRB1","Mus musculus, Homo sapiens","ileum, hippocampal formation, chorioretinal region, pallidum, dorsal plus ventral thalamus, cerebellum, cranial nerve II, kidney, lung parenchyma, striatum, visceral abdominal adipose tissue, palatine tonsil, optic choroid, subcutaneous adipose tissue, cortex of kidney, renal medulla, subcutaneous abdominal adipose tissue, nose, midbrain, olfactory cortex, pigmented layer of retina, adipose tissue, optic disc, neocortex, bone marrow, pons, cerebral cortex, eyeball of camera-type eye, respiratory airway, renal papilla, hypothalamus, medulla oblongata"
CL:0002138,"lymph vessel endothelial cell, lymphatic EC, lymphatic endothelial cell, LEC, unknown","ENPEP, CXCL8, SEMA3D, FLT4, SEMA3A, TSHZ2, STAB2, LDB2, TFPI, NTS, KALRN, PRSS23, unknown, ADGRG3, AKAP12, CDH5, RELN, MECOM, MRC1, PDPN, MADCAM1, IGFBP7, CD36, B2M, TBX1, CCL21, TCF15, VWF, PROX1, ARHGAP26, LYVE1, GNG11, HLA-E, CLDN11, CLDN5, ARL4A, PPFIBP1, FABP4, MMRN1, ELF3, FABP5, PECAM1, ACKR4, PKHD1L1, ZFPM2, SHANK3, LINC02147",Homo sapiens,"substantia propria of cornea, transverse colon, cornea, prostate gland, corpus, ocular surface region, stomach, kidney, lung parenchyma, bronchus, gastrointestinal system mesentery, pancreas, tunica fibrosa of eyeball, corneal endothelium, subcutaneous abdominal adipose tissue, right lobe of liver, liver, adipose tissue, intercostal muscle, descending colon, corneal epithelium, left lobe of liver, corneo-scleral junction, lung, jejunum, rectum, small intestine, nasopharynx, intrahepatic bile duct, ileum, intestine, gallbladder, thyroid gland, common bile duct, visceral abdominal adipose tissue, alveolar sac, subcutaneous adipose tissue, cortex of kidney, renal medulla, sclera, pyloric antrum, nose, caecum, vermiform appendix, biliary system, caudate lobe of liver, duodenum, salivary gland epithelium, sigmoid colon, respiratory airway, colon, renal papilla, breast"
CL:0000235,"M2 macrophage (LYVE1+ subset), macrophage JUN+, histiocyte, macrophage VCAN+, tissue macrophage, macrophage, macrophage RRM2+, tissue-resident macrophage, macrophage RORA+, unknown",", CD86, TOP2A, FCGBP, DOCK4, CD83, CXCL8, GALNT15, CD80, F13A1, CBLB, CTD-2337J16.1, RORA, TREM2, LAMC1, MS4A4A, ALCAM, KYNU, SLCO2B1, MRC1, NDST3, ITGAX, CD38, SOX5, SRGN, CYBB, VCAN, ZEB2, TYROBP, COL6A1, KIT, SBDS, COL6A3, C1QB, CFD, C1QA, USP53, CD5L, SDC3, AIF1, unknown, IGSF21, CCL3, SPP1, APOD, APOE, A2M, PLTP, CD74, MSR1, CD163, JUN, RRM2, LYZ, MERTK, LYVE1, LILRB5, MAFB, FABP5, DLC1, APOC1, HLA-DRA, ID3, SIGLEC1, CD68, FOLR2, HLA-DRB1, C1QC, FBN1",Homo sapiens,"ileum, substantia propria of cornea, cornea, chorioretinal region, ocular surface region, uvea, cranial nerve II, kidney, visceral abdominal adipose tissue, optic choroid, tunica fibrosa of eyeball, corneal endothelium, sclera, subcutaneous abdominal adipose tissue, pigmented layer of retina, liver, vastus lateralis, optic disc, ciliary body, intercostal muscle, corneal epithelium, corneo-scleral junction, eyeball of camera-type eye, eye trabecular meshwork, gastrocnemius"
CL:0000084,"T-cell, T cell, T-lymphocyte, immature T cell, T lymphocyte, mature T cell, unknown","TOP2A, RIPOR2, GALNT15, TRAC, RTKN2, CD3G, CBLB, LAMC1, CD3E, CD3D, ETS1, SIT1, GNLY, RGS1, GPR171, TRBC1, CCR7, RPS12, SOX5, DUSP4, CD96, GPX3, RPL22, THEMIS, TC2N, TGFBR3, CD8B, CD8A, COL6A1, LTB, SKAP1, MT1E, TNXB, KLRB1, LEF1, ARHGAP15, CXCR3, FYN, GBP1, IL32, BCL11B, CCL20, TRAT1, GZMA, SH2D1A, NKG7, GZMH, GZMK, CD4, CD40LG, PTPRC, CD6, RPS29, CAMK4, DLC1, CD28, CD27, CD247, IL7R, FBN1",Homo sapiens,"ileum, pigmented layer of retina, liver, chorioretinal region, vastus lateralis, optic disc, blood, bone marrow, cystic lymph node, cranial nerve II, kidney, eyeball of camera-type eye, visceral abdominal adipose tissue, optic choroid, cortex of kidney, renal medulla, renal papilla, gastrocnemius, subcutaneous abdominal adipose tissue, breast"
CL:0000786,", effector B cell, plasma B-cell, plasma B cell, plasma cells, plasmacyte, plasmocyte, effector B-cell, unknown",", FKBP11, RP11-16E12.2, DERL3, TXNDC11, PRDM1, AL928768.3, JCHAIN, unknown, HERPUD1, CD79A, IGHG1, IGKC, IG* genes, TNFRSF17, CD38, SLAMF7, IGHA1, IG, SOX5, SEC11C, XBP1, FCRL5, SPAG4, TENT5C, IGLL5, JSRP1, RP11-731F5.2, IRF4, POU2AF1, QPCT, MZB1, CD27, SDC1, ITM2C",Homo sapiens,"ileum, transverse colon, chorioretinal region, kidney, lung parenchyma, gastrointestinal system mesentery, visceral abdominal adipose tissue, palatine tonsil, optic choroid, subcutaneous adipose tissue, cortex of kidney, renal medulla, subcutaneous abdominal adipose tissue, nose, right lobe of liver, caecum, pigmented layer of retina, liver, vermiform appendix, adipose tissue, intercostal muscle, descending colon, blood, caudate lobe of liver, duodenum, bone marrow, cystic lymph node, left lobe of liver, eyeball of camera-type eye, sigmoid colon, respiratory airway, colon, jejunum, rectum, small intestine, renal papilla"
CL:0000576,"nonclassical monocytes, myeloid, inflammatory monocyte, intermediate monocytes, LAM-like, unknown, classical monocytes","FCN1, C1QB, C1QA, DOCK4, CSF3R, CXCL8, ITGAM, ZFAND2A, AREG, LYST, unknown, MS4A4A, ADGRG3, HSPH1, BAG3, FTH1, KYNU, NAMPT, ITGAX, CD14, S100a9, SRGN, CD163, FCER1G, GK, PLAUR, CYBB, LYZ, NEAT1, SOD2, FGR, VCAN, CD300E, LUCAT1, LCP1, S100A9, S100A8, FTL, HSPA1A","Mus musculus, Homo sapiens","ileum, hippocampal formation, substantia propria of cornea, transverse colon, cornea, chorioretinal region, ocular surface region, pallidum, dorsal plus ventral thalamus, cerebellum, kidney, gastrointestinal system mesentery, striatum, visceral abdominal adipose tissue, optic choroid, tunica fibrosa of eyeball, subcutaneous adipose tissue, corneal endothelium, sclera, subcutaneous abdominal adipose tissue, right lobe of liver, caecum, midbrain, pigmented layer of retina, olfactory cortex, liver, adipose tissue, vermiform appendix, neocortex, descending colon, caudate lobe of liver, duodenum, corneal epithelium, left lobe of liver, corneo-scleral junction, pons, cerebral cortex, eyeball of camera-type eye, sigmoid colon, colon, jejunum, rectum, small intestine, hypothalamus, medulla oblongata"
CL:0000540,"nerve cell, unknown","MAP2, LHX1, STMN2, DCX, EN1, LHX5, MAPT, LHX9, unknown","Mus musculus, Homo sapiens","hippocampal formation, ileum, intestine, gallbladder, prostate gland, corpus, thyroid gland, pallidum, stomach, hindbrain, dorsal plus ventral thalamus, cerebellum, bronchus, striatum, common bile duct, pancreas, alveolar sac, pyloric antrum, midbrain, midbrain tegmentum, olfactory cortex, midbrain tectum, ventral part of telencephalon, liver, biliary system, telencephalon, neocortex, brain, duodenum, salivary gland epithelium, arcuate nucleus of hypothalamus, choroid plexus, pons, lung, cerebral cortex, colon, nasopharynx, hypothalamus, medulla oblongata, intrahepatic bile duct"
CL:0000192,"myocytes, smooth muscle, myocytes smooth muscle,  smooth muscle, smooth muscle, SMC, vascular smooth muscle cell, SMCs, myocytes, smooth muscle fiber, non-striated muscle cell, unknown","DGKG, CHRM3, TAGLN, SYNPO2, ATP2A2, PRELP, KALRN, ACTG2, MYLK, unknown, CNN1, PLN, GNG7, MYH11, CARMN, CKB, JUNB, MYOCD, JUN, PPP1R12A, TPM1, DSTN, ACTA2, MYH2, PCP4, SELENOM, DES, PLCB4, DDIT3, MYL9, DGKI, ATF3, ATF4",Homo sapiens,"ileum, substantia propria of cornea, transverse colon, intestine, gallbladder, cornea, chorioretinal region, prostate gland, corpus, thyroid gland, ocular surface region, stomach, kidney, bronchus, lung parenchyma, gastrointestinal system mesentery, common bile duct, pancreas, visceral abdominal adipose tissue, alveolar sac, tunica fibrosa of eyeball, subcutaneous adipose tissue, corneal endothelium, sclera, subcutaneous abdominal adipose tissue, pyloric antrum, nose, caecum, liver, vastus lateralis, adipose tissue, vermiform appendix, biliary system, descending colon, duodenum, corneal epithelium, salivary gland epithelium, corneo-scleral junction, lung, sigmoid colon, respiratory airway, colon, jejunum, rectum, small intestine, nasopharynx, intrahepatic bile duct"
CL:0000561,"ACs, AC, amacrine neuron, unknown","NRP2, DGKB, CRYBG3, FRMPD4, RASEF, ADAMTS9-AS2, GRIK1, MCHR2-AS1, RLBP1, AC064875.1, CDH6, LAMP5, AC109466.1, ARHGAP42, GRB14, NETO1, LINC00616, RNF213-AS1, LINC00535, SLC18A2, KCNH1, AL356124.1, AL136456.1, GLCE, LINC02197, ATP11C, EBF3, PAX6, F3, FOXP2, POU3F3, TRDN, AL109930.1, HKDC1, LINC02306, SAG, AP003049.2, RGR, COLEC12, NECAB1, LINC02267, NXPH2, HPGD, SDC2, TSHZ2, AC040174.1, CCDC146, KCNMB2-AS1, ARHGAP18, AC097511.1, PRDM13, RRBP1, AK5, SAMSN1, NCALD, unknown, CDH20, CDH23, IGF2BP2, AC091576.1, CPA6, TMEM132D, LINC02055, EGF, GABRA5, GAD1, AC079362.1, GAD2, PANTR1, SGCZ, USH2A, ST18, GULP1, AC008415.1, TAFA4, TF, RIT2, AGBL1, SLC6A9, NFIB, CLNK, LGR5, CNIH3, ADGRL2",Homo sapiens,"fovea centralis, midbrain tegmentum, midbrain tectum, retinal neural layer, ventral part of telencephalon, chorioretinal region, peripheral region of retina, optic disc, telencephalon, hindbrain, brain, dorsal plus ventral thalamus, cerebellum, arcuate nucleus of hypothalamus, choroid plexus, cranial nerve II, cerebral cortex, macula lutea, macula lutea proper"
CL:0002586,"RPE, RPE1, RPE2, unknown","LGI1, KCND2, TENM4, EYA4, PAX6, NRG1, RPE65, BEST1, INSYN2B, unknown, CST3, TUBA1A, PTPRZ1, CDK2AP2, HMX1, PLS1",Homo sapiens,"cranial nerve II, fovea centralis, pigmented layer of retina, macula lutea, retinal neural layer, chorioretinal region, eyeball of camera-type eye, macula lutea proper, optic choroid, optic disc, peripheral region of retina"
CL:0000136,"white fat cell, white adipose cell, adipose cell, adipocyte, fat cell, unknown","CFD, GALNT15, PDE3B, AQP7, LPL, CBLB, LAMC1, ACACB, unknown, APOD, SOX5, TNS1, GSN, ADIPOQ, FABP4, GPAM, LEP, CSDE1, COL6A1, PLIN4, SAA1, COL6A3, SAA2, PPARG, WDPCP, PLIN1, CES1, FBN1",Homo sapiens,"cranial nerve II, kidney, visceral abdominal adipose tissue, vastus lateralis, adipose tissue, subcutaneous adipose tissue, optic disc, gastrocnemius, intercostal muscle, subcutaneous abdominal adipose tissue"
CL:0000127,"optic nerve and optic nerve head astrocyte glia, optic nerve head astrocyte glia, astrocytic glia, retina astrocyte glia, optic nerve astrocyte glia, retina astrocyte glia that expresses NLGN1+, optic nerve astrocyte glia that expresses AFF3, unknown","SPON1, AHNAK, AQP4, Aqp4, AC092957.1, unknown, Gja1, LINC00836, Gpc5, LINC02231, AC078923.1, Nr2f1, Hs3st3a1, PAX5, S100B, AL357507.1, GFAP, Agt, Itih3, Lhx2, AC012405.1, AC098829.1, AC007368.1, GNG12-AS1, STAC2, Cd38","Mus musculus, Homo sapiens","hippocampal formation, chorioretinal region, pallidum, hindbrain, dorsal plus ventral thalamus, cerebellum, cranial nerve II, striatum, fovea centralis, midbrain, midbrain tegmentum, olfactory cortex, midbrain tectum, ventral part of telencephalon, retinal neural layer, optic disc, telencephalon, peripheral region of retina, neocortex, brain, arcuate nucleus of hypothalamus, choroid plexus, pons, cerebral cortex, macula lutea, macula lutea proper, hypothalamus, medulla oblongata"
CL:4030028,"amacrine cell, glycinergic, glycinergic","PRDM8, MCTP1, BNC2, MEGF11, WWC1, CHRM5, NFIA-AS2, PKD2L1, MCHR2-AS1, INSYN2A, RERG, CDH6, LRMDA, AC109466.1, CALB1, LINC00535, AC080079.2, PDGFRB, AL356124.1, CADPS2, TRPC6, WNT5B, SLC2A13, EBF3, SHISA9, C2orf27A, DKK2, AL355612.1, AL109930.1, ARHGAP10, ALDH1A2, ATF5, FREM1, DOCK1, LINC02143, NFIX, NXPH2, PDE1A, SEMA3A, AC040174.1, ARHGAP18, SEMA3E, THBS2, MCHR2, SEL1L3, NKAIN4, KCNMB2, AC099520.1, DISC1, GABRA1, COL24A1, BCL11A, C8orf34, ST18, TBX3, OTOGL, AC008415.1, NELL1, RIT2, NPHS1, NFIA, SLC6A9, NFIB, FAM163A",Homo sapiens,"cranial nerve II, fovea centralis, macula lutea, retinal neural layer, chorioretinal region, macula lutea proper, peripheral region of retina, optic disc"
CL:0002306,"kidney proximal tubule epithelial cell, unknown","TOP2A, , NRP1, NNMT, NDUFA4L2, LRP2, MKI67, unknown, CDH6, CALD1, FTH1, SPP1, ITGB8, SLC13A1, CUBN, EPHA7, JUN, VCAM1, GPX3, TPM1, FOS, PTPRD, FABP1, GSTA1, MT1F, MT1G, MT1H, ANGPTL4, VIM, SLC22A7, CREB5, FTL",Homo sapiens,"kidney, cortex of kidney, renal medulla, renal papilla"
